+-------------------------------------+-------+
|                Symbol               | Count |
+-------------------------------------+-------+
|               rb_next               |  184  |
|      unmap_underlying_metadata      |  129  |
|           block_write_end           |  129  |
|        perf_event_mmap_output       |   60  |
|             sysrq_filter            |   3   |
|          jbd2_journal_stop          |  286  |
|       event_sched_out.isra.95       |   21  |
|       perf_pmu_disable.part.92      |   14  |
|       selinux_file_permission       |   50  |
|            timespec_trunc           |   72  |
|        current_kernel_time64        |   67  |
|          __es_insert_extent         |  130  |
|        security_inode_getattr       |   3   |
|    entry_SYSCALL_64_after_swapgs    |  103  |
|          __mark_inode_dirty         |  280  |
|             vfs_getattr             |   3   |
|         cpu_needs_another_gp        |  101  |
|         integrity_inode_free        |   2   |
|          page_add_file_rmap         |  398  |
|             sync_mm_rss             |   6   |
|      iov_iter_fault_in_readable     |  129  |
|       add_interrupt_randomness      |   1   |
|               d_delete              |   1   |
|       security_transition_sid       |   2   |
|     selinux_inode_free_security     |   2   |
|        selinux_file_mprotect        |   4   |
|      arch_perf_update_userpage      |   7   |
|          selinux_file_open          |   4   |
|             __fd_install            |   4   |
|            ns_to_timeval            |   2   |
|            ___slab_alloc            |   11  |
|        default_wake_function        |   5   |
|           put_cpu_partial           |   10  |
|            notify_change            |   3   |
|           avc_policy_seqno          |   54  |
|        get_vma_policy.part.32       |   83  |
|                crc16                |   9   |
|         try_to_free_buffers         |  128  |
|           input_to_handler          |   4   |
|         __ext4_journal_stop         |  286  |
|                 iput                |   3   |
|           __dec_zone_state          |  182  |
|           ext4_inode_table          |  170  |
|               pollwake              |   2   |
|       selinux_bprm_secureexec       |   1   |
|           inode_change_ok           |   3   |
|          selinux_mmap_file          |   11  |
|       input_pass_values.part.4      |   1   |
|          __tasklet_schedule         |   1   |
|       tick_do_update_jiffies64      |   42  |
|             is_bad_inode            |   3   |
| __check_block_validity.constprop.66 |   3   |
|        selinux_inode_setattr        |   3   |
|             irq_may_run             |   1   |
|           handle_edge_irq           |   1   |
|              fpu__drop              |   1   |
|           calc_global_load          |   42  |
|            tasklet_action           |   1   |
|              path_init              |   8   |
|          alloc_buffer_head          |  129  |
