+-------------------------------------+-------+
|                Symbol               | Count |
+-------------------------------------+-------+
|        perf_event_mmap_output       |  123  |
|          jbd2_journal_stop          |   1   |
|       event_sched_out.isra.95       |   6   |
|       perf_pmu_disable.part.92      |   4   |
|       selinux_file_permission       |   22  |
|            timespec_trunc           |   28  |
|        current_kernel_time64        |   28  |
|      inode_io_list_move_locked      |   1   |
|        security_inode_getattr       |   9   |
|    entry_SYSCALL_64_after_swapgs    |  103  |
|          __mark_inode_dirty         |   1   |
|             vfs_getattr             |   9   |
|         cpu_needs_another_gp        |   3   |
|         integrity_inode_free        |   1   |
|          page_add_file_rmap         |  590  |
|             sync_mm_rss             |   11  |
|               rb_first              |   2   |
|     selinux_inode_free_security     |   1   |
|        selinux_file_mprotect        |   12  |
|      arch_perf_update_userpage      |   2   |
|          selinux_file_open          |   8   |
|             __fd_install            |   8   |
|            ___slab_alloc            |   17  |
|           put_cpu_partial           |   18  |
|           avc_policy_seqno          |   30  |
|        get_vma_policy.part.32       |   47  |
|                 iput                |   1   |
|           __dec_zone_state          |   64  |
|           ext4_inode_table          |   1   |
|       selinux_bprm_secureexec       |   1   |
|          selinux_mmap_file          |   23  |
|            follow_managed           |   4   |
| __check_block_validity.constprop.66 |   1   |
|              fpu__drop              |   1   |
|              path_init              |   17  |
|             ext4_getattr            |   7   |
|           sched_avg_update          |   1   |
|        is_file_shm_hugepages        |   28  |
|          tlb_flush_mmu_free         |   11  |
|             do_vfs_ioctl            |   2   |
|               do_mmap               |   23  |
|           perf_output_copy          |  103  |
|         update_process_times        |   1   |
|            __wake_up_bit            |  605  |
|           dquot_file_open           |   7   |
|         select_task_rq_fair         |   72  |
|             acct_process            |   1   |
|             path_openat             |   8   |
|             is_ISA_range            |   2   |
|           page_remove_rmap          |  638  |
|        special_mapping_close        |   2   |
|             lockref_get             |   10  |
|        __ext4_check_dir_entry       |  110  |
|           set_next_entity           |   1   |
|           cpumask_any_but           |   20  |
|                memset               |  157  |
|          free_rb_tree_fname         |   2   |
|           sched_clock_tick          |   1   |
|         exit_task_namespaces        |   1   |
