+-------------------------------------+-------+
|                Symbol               | Count |
+-------------------------------------+-------+
|        perf_event_mmap_output       |   63  |
|       event_sched_out.isra.95       |   2   |
|       perf_pmu_disable.part.92      |   2   |
|       selinux_file_permission       |   2   |
|            timespec_trunc           |   10  |
|        current_kernel_time64        |   10  |
|        security_inode_getattr       |   4   |
|    entry_SYSCALL_64_after_swapgs    |   36  |
|             vfs_getattr             |   4   |
|         cpu_needs_another_gp        |   3   |
|         integrity_inode_free        |   1   |
|          page_add_file_rmap         |  475  |
|             sync_mm_rss             |   5   |
|     selinux_inode_free_security     |   1   |
|        selinux_file_mprotect        |   4   |
|      arch_perf_update_userpage      |   1   |
|          selinux_file_open          |   3   |
|             __fd_install            |   3   |
|            ___slab_alloc            |   3   |
|           put_cpu_partial           |   4   |
|           avc_policy_seqno          |   5   |
|        get_vma_policy.part.32       |   20  |
|                 iput                |   1   |
|           __dec_zone_state          |   36  |
|       selinux_bprm_secureexec       |   1   |
|          selinux_mmap_file          |   12  |
|              fpu__drop              |   1   |
|              path_init              |   6   |
|             ext4_getattr            |   3   |
|           sched_avg_update          |   1   |
|        is_file_shm_hugepages        |   12  |
|          tlb_flush_mmu_free         |   5   |
|               do_mmap               |   12  |
|           perf_output_copy          |   49  |
|         update_process_times        |   1   |
|            __wake_up_bit            |  485  |
|           dquot_file_open           |   3   |
|         select_task_rq_fair         |   1   |
|             acct_process            |   1   |
|             path_openat             |   3   |
|             is_ISA_range            |   2   |
|           page_remove_rmap          |  496  |
|        special_mapping_close        |   2   |
|             lockref_get             |   3   |
|           cpumask_any_but           |   8   |
|                memset               |   25  |
|           sched_clock_tick          |   1   |
|         exit_task_namespaces        |   1   |
|             get_seconds             |   1   |
|        update_cpu_load_active       |   1   |
|          find_next_zero_bit         |   6   |
|           tick_sched_timer          |   1   |
|           __wake_up_common          |   2   |
|          free_pages_prepare         |   36  |
|              file_path              |   12  |
|            cpuacct_charge           |   1   |
|         __percpu_counter_add        |   24  |
|            getname_flags            |   6   |
|          tick_program_event         |   1   |
|            cap_mmap_addr            |   16  |
|          filemap_map_pages          |   35  |
|             error_entry             |   56  |
|        generic_file_read_iter       |   1   |
|             __pmd_alloc             |   1   |
|            rw_verify_area           |   2   |
|             avc_has_perm            |   19  |
|              gs_change              |   2   |
|             __calc_delta            |   1   |
|            sys_exit_group           |   1   |
|            find_next_bit            |   15  |
|          lockref_mark_dead          |   1   |
|               sys_brk               |   3   |
|               __d_drop              |   1   |
|      tick_sched_handle.isra.14      |   1   |
|        __alloc_pages_nodemask       |   31  |
|            profile_munmap           |   1   |
|           vm_stat_account           |   8   |
|      security_inode_follow_link     |   1   |
|          inode_has_buffers          |   1   |
|              sys_close              |   5   |
|   start_thread_common.constprop.2   |   1   |
|          user_path_at_empty         |   3   |
|            rcu_irq_enter            |   1   |
|        account_entity_enqueue       |   2   |
|            complete_walk            |   3   |
|                do_brk               |   2   |
|             pt_event_del            |   1   |
|          tty_paranoia_check         |   1   |
|    selinux_bprm_committing_creds    |   1   |
|              set_binfmt             |   1   |
|        exit_to_usermode_loop        |   2   |
|           find_extend_vma           |   1   |
|            clear_page_c_e           |   19  |
|          __update_cpu_load          |   1   |
|             touch_atime             |   9   |
|            free_pgd_range           |   7   |
|           __get_free_pages          |   2   |
|         native_load_gs_index        |   2   |
|            sys_arch_prctl           |   1   |
|            tty_write_lock           |   1   |
|        native_apic_mem_write        |   1   |
|        tlb_flush_mmu_tlbonly        |   5   |
|              irq_enter              |   1   |
|               exit_fs               |   1   |
|           policy_nodemask           |   31  |
|             do_filp_open            |   3   |
